Código;Nome do cargo na Pesquisa;Cargos Similares;Missão do Cargo;;;;;;;;;;;;;;;;;;;
258;Administrador;"Administrador Corporativo; Administrador de Empresas; Administrador de Orçamento; Administrador de Patrimônio";Planejar, organizar, controlar e assessorar as áreas da organização. Implementa programas e projetos administrativos, participa do planejamento organizacional, promove estudos de racionalização e controle de desempenho, e presta consultoria interna e externa. Também desenvolve políticas e procedimentos administrativos, gerencia recursos, assegura conformidade normativa, facilita a comunicação interna, avalia indicadores de desempenho, apoia decisões estratégicas, promove a sustentabilidade e gerencia contratos e parcerias. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
5;Administrador de Redes;"Administrador de Sistemas de Redes; Engenheiro de Redes";Assegurar o perfeito funcionamento da infraestrutura de rede, incluindo equipamentos, cabeamentos, tomadas de rede e sistemas operacionais. Cuidar da segurança das informações, implementando e monitorando políticas de proteção contra ameaças cibernéticas. Verificar tempos de resposta da rede, detectar e solucionar problemas de tráfego e desempenho. Auxiliar no acesso à Internet para os usuários da rede interna, gerenciando cadastros, senhas e permissões. Realizar backups regulares, planejar e executar atualizações e expansões de infraestrutura, e fornecer suporte técnico eficiente aos usuários. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
9;Advogado;"Advogado Corporativo; Assessor Jurídico; Consultor Jurídico; Especialista Jurídico";Defender os interesses dos clientes em diversos campos, resolvendo litígios envolvendo indivíduos, empregados e empregadores conforme a Constituição e as leis vigentes. Fornecer consultoria jurídica a empresas, auxiliando na tomada de decisões estratégicas e avaliando as implicações legais de ações e transações comerciais. Elaborar e revisar contratos, gerenciar riscos legais e garantir que a empresa cumpra as leis e regulamentos aplicáveis ao seu setor de atuação. Representar clientes em processos judiciais e administrativos, e desenvolver estratégias jurídicas eficazes. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
433;Agile Coach;"Agilista; Analista de Processos Ágeis; Líder Técnico Ágil";Desenvolver e promover a metodologia Ágil por meio de pesquisa, inovação e planejamento. Apoiar a implantação e conduzir iniciativas para o aperfeiçoamento das equipes, definindo tecnologias e ferramentas adequadas. Atuar como referência interna, liderando tecnicamente processos e projetos, com o objetivo de entregar mais valor ao cliente em menos tempo. Facilitar a transformação Ágil, treinando equipes e promovendo a melhoria contínua. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
203;Almoxarife;Agente de Almoxarifado;Receber, estocar, distribuir, registrar e inventariar materiais e mercadorias, observando normas e instruções para manter o almoxarifado organizado e em perfeitas condições. Garantir a precisão dos registros e o controle de estoque, otimizar o espaço de armazenamento e assegurar a integridade dos itens armazenados. Implementar práticas de gestão de estoque, colaborar com outras áreas para atender às demandas de materiais e contribuir para a melhoria contínua dos processos de logística e armazenagem. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
13;Analista Administrativo;"Analista Administrativo de Serviços; Analista Administrativo-Financeiro; Analista de Facilities; Analista de Operações Administrativas; Analista de Processos Administrativos";Planejar, organizar e controlar atividades administrativas em todas as áreas da organização. Implementar programas e projetos que melhorem a eficiência operacional. Elaborar e revisar o planejamento organizacional, promovendo estudos de racionalização e controle de desempenho. Controlar recursos, desenvolver políticas e procedimentos administrativos, e garantir a conformidade com regulamentos internos e externos. Prestar suporte analítico para a tomada de decisões estratégicas e colaborar na melhoria contínua dos processos organizacionais. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
476;Analista Business Partner;HR Business Partner;Atuar como consultor interno em todos os subprocessos de Recursos Humanos, incluindo recrutamento e seleção, remuneração e benefícios, treinamento e desenvolvimento, saúde e qualidade de vida, comunicação interna e cultura organizacional. Colaborar na definição e implementação de estratégias organizacionais de gestão de pessoas, alinhando as necessidades do negócio com as práticas de RH. Promover a melhoria contínua dos processos de RH, apoiar líderes e gestores na tomada de decisões estratégicas e contribuir para o desenvolvimento de um ambiente de trabalho positivo e produtivo. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
19;Analista Comercial;"Analista Administrativo Comercial; Analista de Indicadores Comerciais; Analista de Processamento de Pedido; Analista de Prospecção; Analista de Suporte Comercial; Analista de Vendas";Elaborar e implementar planos estratégicos da área comercial, negociando com clientes e analisando o mercado para identificar oportunidades de negócios. Produzir relatórios comerciais detalhados e colaborar no desenvolvimento de estratégias de vendas. Dar suporte à equipe de vendas, gerenciar o CRM (Customer Relationship Management) e acompanhar o desempenho das vendas em relação às metas estabelecidas. Promover a melhoria contínua dos processos comerciais e contribuir para o crescimento sustentável da empresa. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
21;Analista Contábil Fiscal;"Analista Administrativo de Contabilidade; Analista de Contabilidade; Analista Fiscal";Executar a contabilização, analisar e conciliar contas, classificando documentos de acordo com o plano de contas da empresa. Conferir saldos das contas, demonstrando-os por natureza contábil, e realizar registros contábeis e escrituração de livros fiscais. Assegurar o cumprimento das normas e políticas contábeis da companhia, analisando e classificando despesas, elaborando balancetes e fechamentos contábeis. Participar da elaboração e conferência do balanço anual, fornecendo suporte às áreas de custos, ativo fixo, contas a pagar e planejamento financeiro. Identificar e corrigir divergências nas reconciliações e regularizar problemas detectados via lançamentos contábeis. Contribuir para a precisão e integridade das demonstrações financeiras e apoiar a tomada de decisões estratégicas da empresa. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
361;Analista de Assistência Técnica;"Analista Administrativo de AST; Analista Administrativo Técnico; Analista Técnico";Prestar apoio e análise técnica no atendimento aos clientes, elaborar propostas e soluções de problemas técnicos, realizar treinamentos internos e externos, e desenvolver documentação técnica. Realizar a manutenção de hardware, controlar licenças e executar manutenções preventivas. Contribuir para a melhoria contínua dos processos e garantir a satisfação dos clientes. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
25;Analista de Atendimento e Suporte;"Analista de Apoio ao Cliente; Analista de Atendimento Bilíngue; Analista de Service Desk; Analista de Suporte a Sistemas; Analista de Suporte ao Cliente; Analista de Suporte ao Usuário; Analista de Suporte LATAM; Atendimento Latam";Orientar e prestar suporte técnico aos usuários internos e externos. Dimensionar e homologar recursos computacionais (hardware e software) necessários para garantir a perfeita integração e operação no ambiente computacional instalado. Apoiar as atividades de desenvolvimento, manutenção e produção de sistemas, assegurando o funcionamento seguro e contínuo. Disseminar normas, padrões e procedimentos estabelecidos, acompanhando e avaliando a performance dos usuários. Elaborar, implantar e manter programas, facilidades e sistemas de apoio e suporte aos usuários. Promover a melhoria contínua dos serviços de atendimento e suporte. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
82;Analista de Banco de Dados;"Administrador de Banco de Dados; Analista DBA; DBA";Executar atividades referentes à administração das bases dos bancos de dados, que envolvem: projetar, instalar, configurar e manter dados para agilizar e facilitar o desenvolvimento de sistemas. Projetar, criar e manter bases de dados complexas, tabelas e esquemas. Otimizar o desempenho das consultas e a eficiência dos bancos de dados. Garantir a segurança e a integridade dos dados por meio de backups e medidas de recuperação. Realizar monitoramento e manutenção dos bancos de dados. Atuar no desenvolvimento de Data Warehouse. Coletar, organizar, analisar e transmitir o conhecimento gerado a partir de dados obtidos por diversas fontes da empresa, visando administrar os servidores e obter insights para que a empresa possa definir suas estratégias de mercado. Prever o comportamento dos sistemas para aprimorar a resolução de bugs/falhas. Estipular métricas e indicadores de desempenho. Garantir a segurança, integridade e disponibilidade das informações nos acessos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
434;Analista de BI;Analista de Informações Gerenciais;Desenvolver rotinas ETL e scripts de geração de QVD a partir de diversas fontes de dados. Modelar dados associativos, criar relatórios e dashboards intuitivos. Realizar análise de negócios e levantamento de necessidades junto aos clientes. Executar instalações e atualizações nos sistemas de BI, realizar testes iniciais e diagnosticar erros. Treinar e prestar suporte a usuários, transformando dados em inteligência por meio de análise e conhecimento profundo do negócio. Identificar oportunidades de melhoria nos processos e contribuir para a tomada de decisões estratégicas. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
896;Analista de Chatbot;Analista de Assistente Virtual;Criar e analisar conteúdos e fluxos de diálogos de chatbots, ensinar conceitos, sinônimos e indentificar palavras-chave e variações para o bot. Participar da definição da estratégia de atendimento, garantindo que o chatbot ofereça uma experiência de usuário eficiente e satisfatória. Monitorar e ajustar o desempenho do chatbot, utilizando análises de dados para melhorar a precisão e a relevância das respostas. Colaborar com equipes de desenvolvimento e atendimento ao cliente para alinhar os objetivos do chatbot com as metas organizacionais. Implementar melhorias contínuas com base no feedback dos usuários e nas tendências tecnológicas. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
367;Analista de Comércio Exterior;Analista de Importação e Exportação;Realizar operações de comércio internacional para importação e exportação de produtos e serviços. Analisar cenários, tendências e documentação de importação, sugerindo planos de exportação. Realizar análises do mercado internacional de produtos e serviços, fornecendo insights estratégicos. Orientar tecnicamente clientes internos e externos sobre procedimentos e normas de importação e exportação, bem como práticas de desembaraço aduaneiro. Garantir a conformidade com regulamentações internacionais, otimizando processos para eficiência e eficácia. Desenvolver e manter relacionamentos com fornecedores e parceiros comerciais internacionais. Monitorar e gerenciar riscos associados às operações de comércio exterior. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
