Código;Nome do Cargo;Senioridade;Região;Segmento;Data;Horas;Dados Estatísticos - Empresas;Dados Estatísticos - Salários;Menor Salário;1o Quartil;Média;Mediana;3o Quartil;Maior Salário
258;Administrador;Indiferente;Nacional;TI - Software;2025;200;4;6;3526,28;5568,12;6271,30;6599,17;7071,93;8449,20
5;Administrador de Redes;Indiferente;Nacional;TI - Software;2025;200;4;8;2472,97;3706,99;4555,97;3929,28;5214,16;7705,93
9;Advogado;Indiferente;Nacional;TI - Software;2025;200;4;10;4396,25;4959,25;5486,15;5377,11;5477,81;7785,29
433;Agile Coach;Indiferente;Nacional;TI - Software;2025;200;7;21;6051,28;8083,54;8985,35;8083,54;10075,08;11451,52
13;Analista Administrativo;Indiferente;Nacional;TI - Software;2025;200;41;62;2695,72;3351,11;4019,36;4055,22;4435,10;5831,69
13;Analista Administrativo;Júnior;Nacional;TI - Software;2025;200;15;18;2695,72;2929,27;3243,00;3215,34;3403,78;4092,50
13;Analista Administrativo;Pleno;Nacional;TI - Software;2025;200;17;22;3540,02;3698,92;4259,57;4125,29;4507,34;5571,52
13;Analista Administrativo;Sênior;Nacional;TI - Software;2025;200;8;10;4121,62;4845,40;5341,13;5511,38;5797,61;6347,30
476;Analista Business Partner;Indiferente;Nacional;TI - Software;2025;200;10;19;5037,54;6370,19;6883,25;7147,99;7632,63;8060,06
476;Analista Business Partner;Pleno;Nacional;TI - Software;2025;200;6;8;3663,66;4108,80;4913,43;4903,17;5521,92;6548,80
476;Analista Business Partner;Sênior;Nacional;TI - Software;2025;200;5;16;4750,45;7147,99;7450,22;7632,63;8444,53;8555,05
19;Analista Comercial;Indiferente;Nacional;TI - Software;2025;200;23;92;2878,59;3506,12;4128,22;4185,58;4592,45;5541,29
19;Analista Comercial;Júnior;Nacional;TI - Software;2025;200;21;66;2289,79;3070,81;3499,50;3506,12;4230,84;4589,65
19;Analista Comercial;Pleno;Nacional;TI - Software;2025;200;8;27;3435,60;3960,01;4702,58;5037,54;5381,66;5402,99
19;Analista Comercial;Sênior;Nacional;TI - Software;2025;200;5;7;4883,70;5307,89;5546,25;5523,34;5835,56;6129,83
21;Analista Contábil Fiscal;Indiferente;Nacional;TI - Software;2025;200;10;16;3324,77;3843,45;4334,09;4236,11;4979,03;5398,23
21;Analista Contábil Fiscal;Pleno;Nacional;TI - Software;2025;200;5;7;3736,41;3957,04;4211,48;4169,25;4349,69;4961,25
21;Analista Contábil Fiscal;Sênior;Nacional;TI - Software;2025;200;5;7;4213,56;4766,37;5146,92;5037,54;5347,92;6548,80
25;Analista de Atendimento e Suporte;Indiferente;Nacional;TI - Software;2025;200;74;573;2472,97;2946,11;3495,19;3356,83;4058,26;4839,30
25;Analista de Atendimento e Suporte;Júnior;Nacional;TI - Software;2025;200;45;210;2383,52;2711,55;2904,33;2911,12;3075,23;3564,74
25;Analista de Atendimento e Suporte;Pleno;Nacional;TI - Software;2025;200;42;180;3077,28;3254,93;3824,26;3705,01;4295,00;4839,30
25;Analista de Atendimento e Suporte;Sênior;Nacional;TI - Software;2025;200;26;104;3816,44;4678,00;4975,04;4801,83;5234,75;6411,41
82;Analista de Banco de Dados;Indiferente;Nacional;TI - Software;2025;200;7;17;7054,21;9420,20;9648,77;10272,49;10272,49;10642,82
82;Analista de Banco de Dados;Pleno;Nacional;TI - Software;2025;200;5;6;4673,37;4816,12;5995,51;5385,97;7155,67;8156,01
82;Analista de Banco de Dados;Sênior;Nacional;TI - Software;2025;200;5;5;7054,21;8060,06;9737,97;9420,20;10642,82;13512,58
434;Analista de BI;Indiferente;Nacional;TI - Software;2025;200;12;26;3425,53;4351,75;5030,46;5093,10;5422,78;7052,55
434;Analista de BI;Júnior;Nacional;TI - Software;2025;200;8;10;2421,63;2701,59;3240,33;3088,69;3799,75;4127,70
434;Analista de BI;Pleno;Nacional;TI - Software;2025;200;8;15;4716,97;5319,29;5627,91;5422,78;5820,67;7412,27
434;Analista de BI;Sênior;Nacional;TI - Software;2025;200;4;6;4875,11;5035,87;6747,29;6285,35;8067,00;9757,71
136;Analista de Compras;Indiferente;Nacional;TI - Software;2025;200;7;26;2933,28;3171,15;3426,52;3434,41;3653,75;4304,80
