Código;Nome do Cargo;Senioridade;Região;Segmento;Data;Horas;Dados Estatísticos - Empresas;Dados Estatísticos - Salários
258;Administrador;Indiferente;Nacional;TI - Software;2025;200;4;6
5;Administrador de Redes;Indiferente;Nacional;TI - Software;2025;200;4;8
9;Advogado;Indiferente;Nacional;TI - Software;2025;200;4;10
433;Agile Coach;Indiferente;Nacional;TI - Software;2025;200;7;21
13;Analista Administrativo;Indiferente;Nacional;TI - Software;2025;200;41;62
13;Analista Administrativo;Júnior;Nacional;TI - Software;2025;200;15;18
13;Analista Administrativo;Pleno;Nacional;TI - Software;2025;200;17;22
13;Analista Administrativo;Sênior;Nacional;TI - Software;2025;200;8;10
476;Analista Business Partner;Indiferente;Nacional;TI - Software;2025;200;10;19
476;Analista Business Partner;Pleno;Nacional;TI - Software;2025;200;6;8
476;Analista Business Partner;Sênior;Nacional;TI - Software;2025;200;5;16
19;Analista Comercial;Indiferente;Nacional;TI - Software;2025;200;23;92
19;Analista Comercial;Júnior;Nacional;TI - Software;2025;200;21;66
19;Analista Comercial;Pleno;Nacional;TI - Software;2025;200;8;27
19;Analista Comercial;Sênior;Nacional;TI - Software;2025;200;5;7
21;Analista Contábil Fiscal;Indiferente;Nacional;TI - Software;2025;200;10;16
21;Analista Contábil Fiscal;Pleno;Nacional;TI - Software;2025;200;5;7
21;Analista Contábil Fiscal;Sênior;Nacional;TI - Software;2025;200;5;7
25;Analista de Atendimento e Suporte;Indiferente;Nacional;TI - Software;2025;200;74;573
25;Analista de Atendimento e Suporte;Júnior;Nacional;TI - Software;2025;200;45;210
25;Analista de Atendimento e Suporte;Pleno;Nacional;TI - Software;2025;200;42;180
25;Analista de Atendimento e Suporte;Sênior;Nacional;TI - Software;2025;200;26;104
82;Analista de Banco de Dados;Indiferente;Nacional;TI - Software;2025;200;7;17
82;Analista de Banco de Dados;Pleno;Nacional;TI - Software;2025;200;5;6
82;Analista de Banco de Dados;Sênior;Nacional;TI - Software;2025;200;5;5
434;Analista de BI;Indiferente;Nacional;TI - Software;2025;200;12;26
434;Analista de BI;Júnior;Nacional;TI - Software;2025;200;8;10
434;Analista de BI;Pleno;Nacional;TI - Software;2025;200;8;15
434;Analista de BI;Sênior;Nacional;TI - Software;2025;200;4;6
136;Analista de Compras;Indiferente;Nacional;TI - Software;2025;200;7;26
136;Analista de Compras;Júnior;Nacional;TI - Software;2025;200;7;13
136;Analista de Compras;Pleno;Nacional;TI - Software;2025;200;4;7
23;Analista de Comunicação;Indiferente;Nacional;TI - Software;2025;200;7;8
23;Analista de Comunicação;Pleno;Nacional;TI - Software;2025;200;5;11
840;Analista de Conteúdo;Indiferente;Nacional;TI - Software;2025;200;9;99
840;Analista de Conteúdo;Júnior;Nacional;TI - Software;2025;200;4;11
840;Analista de Conteúdo;Pleno;Nacional;TI - Software;2025;200;4;47
840;Analista de Conteúdo;Sênior;Nacional;TI - Software;2025;200;8;21
24;Analista de Contratos;Indiferente;Nacional;TI - Software;2025;200;10;14
24;Analista de Contratos;Júnior;Nacional;TI - Software;2025;200;5;6
26;Analista de Controladoria;Indiferente;Nacional;TI - Software;2025;200;13;16
26;Analista de Controladoria;Júnior;Nacional;TI - Software;2025;200;6;6
26;Analista de Controladoria;Pleno;Nacional;TI - Software;2025;200;6;6
26;Analista de Controladoria;Sênior;Nacional;TI - Software;2025;200;4;4
1017;Analista de Customer Service (CX);Indiferente;Nacional;TI - Software;2025;200;15;67
1017;Analista de Customer Service (CX);Júnior;Nacional;TI - Software;2025;200;11;28
1017;Analista de Customer Service (CX);Pleno;Nacional;TI - Software;2025;200;11;37
1017;Analista de Customer Service (CX);Sênior;Nacional;TI - Software;2025;200;5;6
435;Analista de Dados;Indiferente;Nacional;TI - Software;2025;200;16;81
435;Analista de Dados;Júnior;Nacional;TI - Software;2025;200;6;27
435;Analista de Dados;Pleno;Nacional;TI - Software;2025;200;9;14
435;Analista de Dados;Sênior;Nacional;TI - Software;2025;200;8;71
28;Analista de Departamento Pessoal;Indiferente;Nacional;TI - Software;2025;200;29;44
28;Analista de Departamento Pessoal;Júnior;Nacional;TI - Software;2025;200;11;14
28;Analista de Departamento Pessoal;Pleno;Nacional;TI - Software;2025;200;14;22
28;Analista de Departamento Pessoal;Sênior;Nacional;TI - Software;2025;200;9;13
11;Analista de Documentação;Indiferente;Nacional;TI - Software;2025;200;5;10
11;Analista de Documentação;Júnior;Nacional;TI - Software;2025;200;4;5
11;Analista de Documentação;Pleno;Nacional;TI - Software;2025;200;4;5
366;Analista de Eventos;Indiferente;Nacional;TI - Software;2025;200;7;8
368;Analista de Faturamento;Indiferente;Nacional;TI - Software;2025;200;9;14
368;Analista de Faturamento;Júnior;Nacional;TI - Software;2025;200;6;7
368;Analista de Faturamento;Pleno;Nacional;TI - Software;2025;200;9;10
989;Analista de Gerenciamento de Riscos e Compliance;Indiferente;Nacional;TI - Software;2025;200;4;8
900;Analista de Growth Hacking;Indiferente;Nacional;TI - Software;2025;200;10;13
900;Analista de Growth Hacking;Pleno;Nacional;TI - Software;2025;200;5;5
436;Analista de Implantação e Configuração;Indiferente;Nacional;TI - Software;2025;200;33;511
436;Analista de Implantação e Configuração;Júnior;Nacional;TI - Software;2025;200;20;287
436;Analista de Implantação e Configuração;Pleno;Nacional;TI - Software;2025;200;23;222
436;Analista de Implantação e Configuração;Sênior;Nacional;TI - Software;2025;200;9;50
15;Analista de Infraestrutura de TI;Indiferente;Nacional;TI - Software;2025;200;36;74
15;Analista de Infraestrutura de TI;Júnior;Nacional;TI - Software;2025;200;17;38
15;Analista de Infraestrutura de TI;Pleno;Nacional;TI - Software;2025;200;21;27
15;Analista de Infraestrutura de TI;Sênior;Nacional;TI - Software;2025;200;18;22
1076;Analista de Integrações;Indiferente;Nacional;TI - Software;2025;200;9;14
1076;Analista de Integrações;Pleno;Nacional;TI - Software;2025;200;5;7
1076;Analista de Integrações;Sênior;Nacional;TI - Software;2025;200;4;4
1007;Analista de Inteligência Artificial;Indiferente;Nacional;TI - Software;2025;200;4;5
371;Analista de Inteligência de Mercado;Indiferente;Nacional;TI - Software;2025;200;7;9
371;Analista de Inteligência de Mercado;Sênior;Nacional;TI - Software;2025;200;4;8
37;Analista de Logística;Indiferente;Nacional;TI - Software;2025;200;4;5
42;Analista de Marketing;Indiferente;Nacional;TI - Software;2025;200;40;151
42;Analista de Marketing;Júnior;Nacional;TI - Software;2025;200;20;30
42;Analista de Marketing;Pleno;Nacional;TI - Software;2025;200;28;104
42;Analista de Marketing;Sênior;Nacional;TI - Software;2025;200;8;13
370;Analista de Marketing Digital;Indiferente;Nacional;TI - Software;2025;200;15;20
370;Analista de Marketing Digital;Júnior;Nacional;TI - Software;2025;200;5;6
370;Analista de Marketing Digital;Pleno;Nacional;TI - Software;2025;200;7;8
370;Analista de Marketing Digital;Sênior;Nacional;TI - Software;2025;200;7;8
45;Analista de Mídias Sociais;Indiferente;Nacional;TI - Software;2025;200;14;21
45;Analista de Mídias Sociais;Júnior;Nacional;TI - Software;2025;200;4;5
45;Analista de Mídias Sociais;Pleno;Nacional;TI - Software;2025;200;4;4
45;Analista de Mídias Sociais;Sênior;Nacional;TI - Software;2025;200;4;4
46;Analista de Negócios;Indiferente;Nacional;TI - Software;2025;200;25;187
46;Analista de Negócios;Júnior;Nacional;TI - Software;2025;200;8;61
46;Analista de Negócios;Pleno;Nacional;TI - Software;2025;200;9;55
46;Analista de Negócios;Sênior;Nacional;TI - Software;2025;200;19;99
306;Analista de Operações;Indiferente;Nacional;TI - Software;2025;200;8;74
306;Analista de Operações;Júnior;Nacional;TI - Software;2025;200;6;53
306;Analista de Operações;Pleno;Nacional;TI - Software;2025;200;4;18
306;Analista de Operações;Sênior;Nacional;TI - Software;2025;200;4;5
1113;Analista de Parcerias;Indiferente;Nacional;TI - Software;2025;200;6;8
1113;Analista de Parcerias;Pleno;Nacional;TI - Software;2025;200;5;5
17;Analista de Pesquisa e Desenvolvimento P&D;Indiferente;Nacional;TI - Software;2025;200;5;18
190;Analista de Planejamento Financeiro;Indiferente;Nacional;TI - Software;2025;200;4;8
438;Analista de Pré-vendas (SDR);Indiferente;Nacional;TI - Software;2025;200;32;154
438;Analista de Pré-vendas (SDR);Júnior;Nacional;TI - Software;2025;200;14;103
438;Analista de Pré-vendas (SDR);Pleno;Nacional;TI - Software;2025;200;18;37
438;Analista de Pré-vendas (SDR);Sênior;Nacional;TI - Software;2025;200;8;11
1015;Analista de Product Marketing (PMM);Indiferente;Nacional;TI - Software;2025;200;11;15
